Campaign name,Ad Set Name,Ad name,Currency,Amount spent (EUR),Impressions,Clicks (all),CPC (all),CTR (all),Frequency
REMARKETING - Landing - Contact || Paid || Meta,STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta,"Review, Nicole || STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,25.05,2039,25,1.002,1.22609122,1.53308271
REMARKETING - Landing - Contact || Paid || Meta,STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta,"Reel Certificato, Giulia || STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,289.51,35698,338,0.85653846,0.94683176,1.54003451
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,"Illustrate, Bear || TEST - Advantage+ shopping campaign || Paid || Meta",EUR,738.09,183846,2427,0.30411619,1.32012663,1.54726477
GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,SoTunAlsOb || GER - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,96.52,8188,66,1.46242424,0.80605765,1.55134521
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,"Standard, 3 || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta",EUR,4.15,632,1,4.15,0.15822785,1.55665025
REMARKETING - Landing - Contact || Paid || Meta,STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta,"Certificato, 2 || STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,29.52,3149,28,1.05428571,0.88917117,1.56355511
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,mark || TEST - Advantage+ shopping campaign || Paid || Meta,EUR,62.53,15299,77,0.81207792,0.50330087,1.57445714
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Fish || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,85.83,17425,188,0.45654255,1.07890961,1.58466715
TEST - Advantage+ shopping campaign || Paid || Meta,TEST - Advantage+ shopping campaign || Paid || Meta,Documenti || TEST - Advantage+ shopping campaign || Paid || Meta,EUR,35.65,7585,132,0.27007576,1.74027686,1.58814908
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Meme || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,66.25,16078,137,0.48357664,0.85209603,1.59030663
REMARKETING - Landing - Contact || Paid || Meta,STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta,"Review, Camilla || STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,4.54,642,2,2.27,0.31152648,1.605
ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,Inferno || ESP - LEAD GENERATION - Advantage+ shopping campaign || Paid || Meta,EUR,47.18,7390,43,1.0972093,0.58186739,1.62739485
REMARKETING - Landing - Contact || Paid || Meta,STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta,"Reviews, 2 || STATIC - Pixel Viktor (viewpage) + Broad || REMARKETING - Landing - Contact || Paid || Meta",EUR,92.64,12673,124,0.74709677,0.97845814,1.63059701
